wavelength (nm),0,50,100,150,200,250,300,350,400,450,500,550,600,650,700
353,1.268416,1.275075,1.273218,1.277375,1.278643,1.285459,1.282655,1.286837,1.290598,1.294773,1.290296,1.295039,1.290208,1.296527,1.298005
354,1.267482,1.271962,1.272413,1.268683,1.279545,1.280589,1.27932,1.281917,1.288066,1.286415,1.286299,1.289369,1.290184,1.290599,1.296478
355,1.261125,1.259405,1.261528,1.264791,1.27326,1.269711,1.274697,1.274853,1.280004,1.276937,1.284351,1.284253,1.28366,1.2796,1.284743
356,1.252277,1.253929,1.253327,1.258644,1.257472,1.262794,1.266374,1.269644,1.265557,1.274813,1.269071,1.279484,1.276526,1.278007,1.277978
357,1.249736,1.254067,1.252897,1.250294,1.256082,1.258683,1.264371,1.266021,1.26344,1.271099,1.267075,1.272293,1.275591,1.27117,1.275451
358,1.245594,1.242933,1.250248,1.250333,1.255454,1.252411,1.261007,1.260984,1.257236,1.265076,1.265529,1.269915,1.269701,1.266166,1.266839
359,1.241315,1.240045,1.239267,1.245601,1.248064,1.250837,1.252937,1.259121,1.25727,1.259665,1.263752,1.264106,1.260484,1.261734,1.264826
360,1.237664,1.232689,1.238464,1.241715,1.24598,1.243379,1.251559,1.249137,1.253175,1.255253,1.256087,1.256259,1.260017,1.260703,1.262304
361,1.2328,1.232369,1.235683,1.233666,1.238943,1.237553,1.246143,1.244812,1.247939,1.252006,1.253092,1.255478,1.253775,1.252683,1.255721
362,1.228951,1.228629,1.229008,1.23256,1.233473,1.237143,1.238835,1.24456,1.245815,1.24782,1.248515,1.249379,1.253922,1.250063,1.255985
363,1.224916,1.220777,1.228958,1.230593,1.228378,1.231462,1.236235,1.236852,1.241159,1.240108,1.241574,1.246307,1.247883,1.247484,1.253664
364,1.218783,1.218543,1.222042,1.220427,1.225607,1.230113,1.227892,1.23225,1.23385,1.236828,1.236336,1.238252,1.242895,1.2372,1.242898
365,1.209686,1.206964,1.218147,1.214265,1.217509,1.222468,1.223878,1.228355,1.228921,1.229879,1.23461,1.236703,1.23819,1.237735,1.238823
366,1.211804,1.21259,1.20989,1.220031,1.214466,1.223688,1.223132,1.2243,1.225025,1.229854,1.231986,1.228635,1.236866,1.232824,1.234231
367,1.205762,1.20552,1.212548,1.212931,1.21683,1.21619,1.222818,1.220246,1.220866,1.229953,1.227799,1.230454,1.233583,1.235573,1.235632
368,1.204139,1.210282,1.208181,1.213574,1.21525,1.220429,1.222256,1.223777,1.223752,1.226358,1.225686,1.233661,1.230767,1.23271,1.233708
